player,balls_faced,total_runs,fours,sixes,dismissals,pp_runs,death_runs,batting_avg,strike_rate,boundary_pct,balls_bowled,wickets,economy,bowl_avg,strike_rate_bowl,dot_pct,pp_wickets,death_wickets,stumpings,role,ewr_wpa_bat,rwpa_powerplay_bat,rwpa_middle_bat,rwpa_death_bat,ewr_wpa_bow,rwpa_powerplay_bow,rwpa_middle_bow,rwpa_death_bow,fran_runs,fran_balls_faced,fran_sr,fran_wickets,fran_balls_bowled,fran_economy,combined_ewr_wpa,recency_bonus,final_score,in_recent_squad
JJ Bumrah,80.0,68.0,5.0,1.0,8.0,0.0,63.0,8.5,85.0,0.075,3161.0,178.0,7.231888642834545,21.40449438202247,17.758426966292134,0.3865865232521354,35.0,101.0,0.0,Bowler,-0.6697525704122882,0.0,0.0065106485190136575,-0.92742043283591,6.167845577546566,1.8703250530365698,0.7128672988968725,3.6431901972443783,68.0,80.0,85.0,178.0,3161.0,7.231888642834545,6.167845577546566,0.1,6.7846301353012235,True
JC Buttler,2517.0,3582.0,356.0,161.0,95.0,1612.0,596.0,37.705263157894734,142.31227651966628,0.20540325784664282,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,1.0,Batsman,5.151009203706045,3.4589948612405177,1.3025997412733579,0.45080922817317143,0.0,0.0,0.0,0.0,527.0,373.0,141.28686327077747,0.0,0.0,0.0,5.151009203706045,0.0,5.151009203706045,False
Z Khan,141.0,117.0,11.0,2.0,15.0,0.0,108.0,7.8,82.97872340425532,0.09219858156028368,2276.0,119.0,7.539543057996485,24.03361344537815,19.126050420168067,0.3835676625659051,58.0,46.0,0.0,Bowler,-0.47483934219981216,0.017749251460649762,0.062039506828990953,-0.6556577477660087,3.5552619595219275,2.278304812794033,0.05977429585695001,1.2640448274903022,40.0,31.0,129.03225806451613,31.0,565.0,7.306194690265486,3.5552619595219275,0.0,3.5552619595219275,False
SL Malinga,103.0,88.0,6.0,5.0,12.0,0.0,86.0,7.333333333333333,85.43689320388349,0.10679611650485436,2974.0,188.0,7.032952252858103,18.54255319148936,15.819148936170214,0.3846671149966375,40.0,122.0,0.0,Bowler,-0.2367958791530692,0.0,0.006926446677322473,-0.31269199937012054,3.2059495720063165,0.2957959110772685,0.5761074170134974,2.3663860176748606,88.0,103.0,85.43689320388349,188.0,2974.0,7.032952252858103,3.2059495720063165,0.0,3.2059495720063165,False
Tilak Varma,830.0,1156.0,90.0,58.0,28.0,109.0,297.0,41.285714285714285,139.27710843373492,0.1783132530120482,23.0,0.0,7.304347826086956,999.0,999.0,0.34782608695652173,0.0,0.0,0.0,Batsman,2.6784745321666708,-0.20713270504219672,1.8079946505198172,1.1744249191770022,0.08047160605833795,0.03562484735020025,0.15936768261610137,-0.009557959484044637,1156.0,830.0,139.27710843373492,0.0,23.0,7.304347826086956,2.6784745321666708,0.1,2.9463219853833382,True
MJ McClenaghan,73.0,85.0,5.0,7.0,11.0,0.0,56.0,7.7272727272727275,116.43835616438356,0.1643835616438356,1346.0,75.0,8.197622585438335,24.52,17.946666666666665,0.37667161961367013,32.0,34.0,0.0,Bowler,-0.29804741083363984,-0.2223921575249088,-0.017347094278042263,-0.1807933963595819,2.9051040761725107,1.5597068154424334,0.029043683255634584,1.3811032968542167,85.0,73.0,116.43835616438356,75.0,1346.0,8.197622585438335,2.9051040761725107,0.0,2.9051040761725107,False
RV Uthappa,3925.0,4952.0,481.0,182.0,184.0,2035.0,567.0,26.91304347826087,126.1656050955414,0.1689171974522293,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,32.0,Wicketkeeper,5.297210962519787,2.9826271413358665,2.540444094877833,-0.18537203703770913,0.0,0.0,0.0,0.0,320.0,291.0,109.96563573883162,0.0,0.0,0.0,2.6486054812598936,0.0,2.6486054812598936,False
MEK Hussey,1648.0,1977.0,198.0,52.0,52.0,828.0,261.0,38.01923076923077,119.96359223300972,0.15169902912621358,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,Batsman,2.60254726659083,2.876652212374811,-0.5307042335520564,0.3039757549997047,0.0,0.0,0.0,0.0,209.0,187.0,111.76470588235294,0.0,0.0,0.0,2.60254726659083,0.0,2.60254726659083,False
Q de Kock,2407.0,3157.0,316.0,123.0,100.0,1840.0,186.0,31.57,131.15911923556294,0.1823847112588284,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,16.0,Wicketkeeper,4.71340989976831,2.8641605753104233,1.7114558118159195,0.19653979307115324,0.0,0.0,0.0,0.0,1329.0,1030.0,129.02912621359224,0.0,0.0,0.0,2.356704949884155,0.1,2.592375444872571,True
S Dhawan,5481.0,6769.0,768.0,153.0,194.0,3415.0,668.0,34.891752577319586,123.49936143039591,0.16803503010399562,49.0,4.0,8.816326530612246,18.0,12.25,0.3469387755102041,1.0,0.0,0.0,Batsman,2.5341619664849433,3.1290942659738152,-0.6829082896019356,0.10184660842989408,0.2962751211777615,0.20763447754552694,0.2700335749655579,0.0,231.0,226.0,102.21238938053096,0.0,0.0,0.0,2.5341619664849433,0.0,2.5341619664849433,False
